snoring_range,respitory_range,temperature,limb_movement_rate,oxygen_in_blood,rapid_eye_movement,number_of_hours_of_sleep,heart_rate,stress_level,Date/Time (EST),sr_with_trend
61.6,20.16,92.16,10.16,90.16,85.8,2.24,60.4,2.0,2011-01-03 16:00:00,71.61589825119238
96.448,26.448,85.56,17.224,82.672,100.56,0.0,76.12,4.0,2011-01-03 17:00:00,106.62288076311606
50.24,18.048,94.048,8.048,92.072,80.12,5.048,55.12,1.0,2011-01-03 18:00:00,60.57386327503975
49.92,17.968,98.952,7.936,96.968,79.68,8.968,54.92,0.0,2011-01-03 19:00:00,60.41284578696344
60.48,20.048,92.048,10.048,90.048,85.24,2.072,60.12,2.0,2011-01-03 20:00:00,71.13182829888711
99.136,29.136,88.92,18.568,86.704,103.92,0.0,82.84,4.0,2011-01-03 21:00:00,109.9468108108108
48.28,17.312,97.968,6.624,96.312,73.12,8.312,53.28,0.0,2011-01-03 22:00:00,59.249793322734504
50.48,18.096,94.096,8.096,92.144,80.24,5.096,55.24,1.0,2011-01-03 23:00:00,61.60877583465819
96.192,26.192,85.24,17.096,82.288,100.24,0.0,75.48,4.0,2011-01-04 00:00:00,107.47975834658187
57.68,19.536,95.536,9.536,94.304,83.84,6.536,58.84,1.0,2011-01-04 01:00:00,69.12674085850557
45.16,16.064,96.096,4.128,95.064,60.64,7.064,50.16,0.0,2011-01-04 02:00:00,56.76572337042925
48.68,17.472,98.208,6.944,96.472,74.72,8.472,53.68,0.0,2011-01-04 03:00:00,60.44470588235294
98.016,28.016,87.52,18.008,85.024,102.52,0.0,80.04,4.0,2011-01-04 04:00:00,109.93968839427663
96.8,26.8,86.0,17.4,83.2,101.0,0.0,77.0,4.0,2011-01-04 05:00:00,108.88267090620032
56.48,19.296,95.296,9.296,93.944,83.24,6.296,58.24,1.0,2011-01-04 06:00:00,68.721653418124
90.08,24.688,91.344,15.36,89.344,98.36,1.344,71.72,3.0,2011-01-04 07:00:00,102.4806359300477
96.0,26.0,85.0,17.0,82.0,100.0,0.0,75.0,4.0,2011-01-04 08:00:00,108.55961844197138
50.64,18.128,94.128,8.128,92.192,80.32,5.128,55.32,1.0,2011-01-04 09:00:00,63.35860095389508
50.56,18.112,94.112,8.112,92.168,80.28,5.112,55.28,1.0,2011-01-04 10:00:00,63.43758346581876
53.92,18.784,94.784,8.784,93.176,81.96,5.784,56.96,1.0,2011-01-04 11:00:00,66.95656597774246
96.672,26.672,85.84,17.336,83.008,100.84,0.0,76.68,4.0,2011-01-04 12:00:00,109.86754848966613
68.32,20.832,92.832,10.832,90.832,89.16,3.248,62.08,2.0,2011-01-04 13:00:00,81.67453100158981
54.88,18.976,94.976,8.976,93.464,82.44,5.976,57.44,1.0,2011-01-04 14:00:00,68.39351351351351
52.4,18.48,94.48,8.48,92.72,81.2,5.48,56.2,1.0,2011-01-04 15:00:00,66.0724960254372
51.6,18.32,94.32,8.32,92.48,80.8,5.32,55.8,1.0,2011-01-04 16:00:00,65.43147853736089
92.48,25.328,91.664,16.16,89.664,99.16,1.664,73.32,3.0,2011-01-04 17:00:00,106.47046104928458
98.24,28.24,87.8,18.12,85.36,102.8,0.0,80.6,4.0,2011-01-04 18:00:00,112.38944356120827
65.12,20.512,92.512,10.512,90.512,87.56,2.768,61.28,2.0,2011-01-04 19:00:00,79.42842607313196
86.6,23.76,90.88,14.2,88.88,97.2,0.88,69.4,3.0,2011-01-04 20:00:00,101.06740858505563
68.0,20.8,92.8,10.8,90.8,89.0,3.2,62.0,2.0,2011-01-04 21:00:00,82.62639109697933
99.808,29.808,89.76,18.904,87.712,104.76,0.0,84.52,4.0,2011-01-04 22:00:00,114.59337360890302
45.2,16.08,96.12,4.16,95.08,60.8,7.08,50.2,0.0,2011-01-04 23:00:00,60.144356120826714
63.2,20.32,92.32,10.32,90.32,86.6,2.48,60.8,2.0,2011-01-05 00:00:00,78.3033386327504
98.272,28.272,87.84,18.136,85.408,102.84,0.0,80.68,4.0,2011-01-05 01:00:00,113.5343211446741
75.2,21.52,93.52,11.52,91.52,92.6,4.28,63.8,2.0,2011-01-05 02:00:00,90.62130365659777
76.96,21.696,93.696,11.696,91.696,93.48,4.544,64.24,2.0,2011-01-05 03:00:00,92.54028616852146
80.0,22.0,90.0,12.0,88.0,95.0,0.0,65.0,3.0,2011-01-05 04:00:00,95.73926868044515
99.616,29.616,89.52,18.808,87.424,104.52,0.0,84.04,4.0,2011-01-05 05:00:00,115.51425119236885
97.216,27.216,86.52,17.608,83.824,101.52,0.0,78.04,4.0,2011-01-05 06:00:00,113.27323370429252
45.04,16.016,96.024,4.032,95.016,60.16,7.016,50.04,0.0,2011-01-05 07:00:00,61.25621621621622
97.376,27.376,86.72,17.688,84.064,101.72,0.0,78.44,4.0,2011-01-05 08:00:00,113.75119872813991
53.52,18.704,94.704,8.704,93.056,81.76,5.704,56.76,1.0,2011-01-05 09:00:00,70.0541812400636
61.44,20.144,92.144,10.144,90.144,85.72,2.216,60.36,2.0,2011-01-05 10:00:00,78.13316375198728
62.24,20.224,92.224,10.224,90.224,86.12,2.336,60.56,2.0,2011-01-05 11:00:00,79.09214626391098
79.2,21.92,93.92,11.92,91.92,94.6,4.88,64.8,2.0,2011-01-05 12:00:00,96.21112877583465
96.96,26.96,86.2,17.48,83.44,101.2,0.0,77.4,4.0,2011-01-05 13:00:00,114.13011128775834
54.4,18.88,94.88,8.88,93.32,82.2,5.88,57.2,1.0,2011-01-05 14:00:00,71.72909379968203
68.96,20.896,92.896,10.896,90.896,89.48,3.344,62.24,2.0,2011-01-05 15:00:00,86.44807631160572
96.608,26.608,85.76,17.304,82.912,100.76,0.0,76.52,4.0,2011-01-05 16:00:00,114.25505882352942
47.44,16.976,97.464,5.952,95.976,69.76,7.976,52.44,0.0,2011-01-05 17:00:00,65.2460413354531
90.56,24.816,91.408,15.52,89.408,98.52,1.408,72.04,3.0,2011-01-05 18:00:00,108.52502384737679
66.88,20.688,92.688,10.688,90.688,88.44,3.032,61.72,2.0,2011-01-05 19:00:00,85.00400635930048
97.92,27.92,87.4,17.96,84.88,102.4,0.0,79.8,4.0,2011-01-05 20:00:00,116.20298887122416
68.64,20.864,92.864,10.864,90.864,89.32,3.296,62.16,2.0,2011-01-05 21:00:00,87.08197138314786
76.0,21.6,93.6,11.6,91.6,93.0,4.4,64.0,2.0,2011-01-05 22:00:00,94.60095389507154
49.52,17.808,98.712,7.616,96.808,78.08,8.808,54.52,0.0,2011-01-05 23:00:00,68.27993640699523
54.96,18.992,94.992,8.992,93.488,82.48,5.992,57.48,1.0,2011-01-06 00:00:00,73.87891891891891
55.28,19.056,95.056,9.056,93.584,82.64,6.056,57.64,1.0,2011-01-06 01:00:00,74.35790143084262
90.32,24.752,91.376,15.44,89.376,98.44,1.376,71.88,3.0,2011-01-06 02:00:00,109.55688394276629
97.312,27.312,86.64,17.656,83.968,101.64,0.0,78.28,4.0,2011-01-06 03:00:00,116.70786645468999
58.08,19.616,95.616,9.616,94.424,84.04,6.616,59.04,1.0,2011-01-06 04:00:00,77.63484896661367
83.6,22.96,90.48,13.2,88.48,96.2,0.48,67.4,3.0,2011-01-06 05:00:00,103.31383147853735
98.112,28.112,87.64,18.056,85.168,102.64,0.0,80.28,4.0,2011-01-06 06:00:00,117.98481399046105
98.208,28.208,87.76,18.104,85.312,102.76,0.0,80.52,4.0,2011-01-06 07:00:00,118.23979650238473
65.76,20.576,92.576,10.576,90.576,87.88,2.864,61.44,2.0,2011-01-06 08:00:00,85.95077901430844
57.2,19.44,95.44,9.44,94.16,83.6,6.44,58.6,1.0,2011-01-06 09:00:00,77.54976152623212
97.568,27.568,86.96,17.784,84.352,101.96,0.0,78.92,4.0,2011-01-06 10:00:00,118.0767440381558
68.8,20.88,92.88,10.88,90.88,89.4,3.32,62.2,2.0,2011-01-06 11:00:00,89.46772655007949
47.8,17.12,97.68,6.24,96.12,71.2,8.12,52.8,0.0,2011-01-06 12:00:00,68.62670906200319
97.184,27.184,86.48,17.592,83.776,101.48,0.0,77.96,4.0,2011-01-06 13:00:00,118.16969157392687
92.72,25.392,91.696,16.24,89.696,99.24,1.696,73.48,3.0,2011-01-06 14:00:00,113.86467408585055
59.68,19.936,95.936,9.936,94.904,84.84,6.936,59.84,1.0,2011-01-06 15:00:00,80.98365659777424
48.56,17.424,98.136,6.848,96.424,74.24,8.424,53.56,0.0,2011-01-06 16:00:00,70.02263910969793
48.36,17.344,98.016,6.688,96.344,73.44,8.344,53.36,0.0,2011-01-06 17:00:00,69.98162162162163
78.08,21.808,93.808,11.808,91.808,94.04,4.712,64.52,2.0,2011-01-06 18:00:00,99.86060413354531
96.736,26.736,85.92,17.368,83.104,100.92,0.0,76.84,4.0,2011-01-06 19:00:00,118.675586645469
47.72,17.088,97.632,6.176,96.088,70.88,8.088,52.72,0.0,2011-01-06 20:00:00,69.81856915739269
71.36,21.136,93.136,11.136,91.136,90.68,3.704,62.84,2.0,2011-01-06 21:00:00,93.61755166931638
81.44,22.384,90.192,12.48,88.192,95.48,0.192,65.96,3.0,2011-01-06 22:00:00,103.85653418124006
78.4,21.84,93.84,11.84,91.84,94.2,4.76,64.6,2.0,2011-01-06 23:00:00,100.97551669316375
49.32,17.728,98.592,7.456,96.728,77.28,8.728,54.32,0.0,2011-01-07 00:00:00,72.05449920508744
68.48,20.848,92.848,10.848,90.848,89.24,3.272,62.12,2.0,2011-01-07 01:00:00,91.37348171701113
46.92,16.768,97.152,5.536,95.768,67.68,7.768,51.92,0.0,2011-01-07 02:00:00,69.97246422893483
48.76,17.504,98.256,7.008,96.504,75.04,8.504,53.76,0.0,2011-01-07 03:00:00,71.97144674085851
45.08,16.032,96.048,4.064,95.032,60.32,7.032,50.08,0.0,2011-01-07 04:00:00,68.45042925278219
45.12,16.048,96.072,4.096,95.048,60.48,7.048,50.12,0.0,2011-01-07 05:00:00,68.64941176470589
50.32,18.064,94.064,8.064,92.096,80.16,5.064,55.16,1.0,2011-01-07 06:00:00,74.00839427662957
88.52,24.272,91.136,14.84,89.136,97.84,1.136,70.68,3.0,2011-01-07 07:00:00,112.36737678855326
47.88,17.152,97.728,6.304,96.152,71.52,8.152,52.88,0.0,2011-01-07 08:00:00,71.88635930047695
96.864,26.864,86.08,17.432,83.296,101.08,0.0,77.16,4.0,2011-01-07 09:00:00,121.02934181240065
96.096,26.096,85.12,17.048,82.144,100.12,0.0,75.24,4.0,2011-01-07 10:00:00,120.42032432432433
49.0,17.6,98.4,7.2,96.6,76.0,8.6,54.0,0.0,2011-01-07 11:00:00,73.48330683624802
64.64,20.464,92.464,10.464,90.464,87.32,2.696,61.16,2.0,2011-01-07 12:00:00,89.2822893481717
93.32,25.552,91.776,16.44,89.776,99.44,1.776,73.88,3.0,2011-01-07 13:00:00,118.12127186009539
74.56,21.456,93.456,11.456,91.456,92.28,4.184,63.64,2.0,2011-01-07 14:00:00,99.52025437201908
96.32,26.32,85.4,17.16,82.48,100.4,0.0,75.8,4.0,2011-01-07 15:00:00,121.43923688394275
98.784,28.784,88.48,18.392,86.176,103.48,0.0,81.96,4.0,2011-01-07 16:00:00,124.06221939586646
98.88,28.88,88.6,18.44,86.32,103.6,0.0,82.2,4.0,2011-01-07 17:00:00,124.31720190779015
70.56,21.056,93.056,11.056,91.056,90.28,3.584,62.64,2.0,2011-01-07 18:00:00,96.15618441971384
55.76,19.152,95.152,9.152,93.728,82.88,6.152,57.88,1.0,2011-01-07 19:00:00,81.51516693163752
66.08,20.608,92.608,10.608,90.608,88.04,2.912,61.52,2.0,2011-01-07 20:00:00,91.99414944356121
99.392,29.392,89.24,18.696,87.088,104.24,0.0,83.48,4.0,2011-01-07 21:00:00,125.46513195548489
76.8,21.68,93.68,11.68,91.68,93.4,4.52,64.2,2.0,2011-01-07 22:00:00,103.03211446740858
46.8,16.72,97.08,5.44,95.72,67.2,7.72,51.8,0.0,2011-01-07 23:00:00,73.19109697933227
47.28,16.912,97.368,5.824,95.912,69.12,7.912,52.28,0.0,2011-01-08 00:00:00,73.83007949125596
99.776,29.776,89.72,18.888,87.664,104.72,0.0,84.44,4.0,2011-01-08 01:00:00,126.48506200317965
100.0,30.0,90.0,19.0,88.0,105.0,0.0,85.0,4.0,2011-01-08 02:00:00,126.86804451510334
59.6,19.92,95.92,9.92,94.88,84.8,6.92,59.8,1.0,2011-01-08 03:00:00,86.62702702702703
74.72,21.472,93.472,11.472,91.472,92.36,4.208,63.68,2.0,2011-01-08 04:00:00,101.90600953895071
71.2,21.12,93.12,11.12,91.12,90.6,3.68,62.8,2.0,2011-01-08 05:00:00,98.54499205087441
58.16,19.632,95.632,9.632,94.448,84.08,6.632,59.08,1.0,2011-01-08 06:00:00,85.66397456279809
53.44,18.688,94.688,8.688,93.032,81.72,5.688,56.72,1.0,2011-01-08 07:00:00,81.10295707472179
52.56,18.512,94.512,8.512,92.768,81.28,5.512,56.28,1.0,2011-01-08 08:00:00,80.38193958664547
54.32,18.864,94.864,8.864,93.296,82.16,5.864,57.16,1.0,2011-01-08 09:00:00,82.30092209856916
98.08,28.08,87.6,18.04,85.12,102.6,0.0,80.2,4.0,2011-01-08 10:00:00,126.21990461049285
92.0,25.2,91.6,16.0,89.6,99.0,1.6,73.0,3.0,2011-01-08 11:00:00,120.29888712241655
58.88,19.776,95.776,9.776,94.664,84.44,6.776,59.44,1.0,2011-01-08 12:00:00,87.33786963434022
55.2,19.04,95.04,9.04,93.56,82.6,6.04,57.6,1.0,2011-01-08 13:00:00,83.81685214626391
53.36,18.672,94.672,8.672,93.008,81.68,5.672,56.68,1.0,2011-01-08 14:00:00,82.1358346581876
79.04,21.904,93.904,11.904,91.904,94.52,4.856,64.76,2.0,2011-01-08 15:00:00,107.9748171701113
58.24,19.648,95.648,9.648,94.472,84.12,6.648,59.12,1.0,2011-01-08 16:00:00,87.33379968203498
46.2,16.48,96.72,4.96,95.48,64.8,7.48,51.2,0.0,2011-01-08 17:00:00,75.45278219395867
67.04,20.704,92.704,10.704,90.704,88.52,3.056,61.76,2.0,2011-01-08 18:00:00,96.45176470588237
47.04,16.816,97.224,5.632,95.816,68.16,7.816,52.04,0.0,2011-01-08 19:00:00,76.61074721780605
73.76,21.376,93.376,11.376,91.376,91.88,4.064,63.44,2.0,2011-01-08 20:00:00,103.48972972972973
57.04,19.408,95.408,9.408,94.112,83.52,6.408,58.52,1.0,2011-01-08 21:00:00,86.92871224165341
72.48,21.248,93.248,11.248,91.248,91.24,3.872,63.12,2.0,2011-01-08 22:00:00,102.52769475357711
52.8,18.56,94.56,8.56,92.84,81.4,5.56,56.4,1.0,2011-01-08 23:00:00,83.0066772655008
57.28,19.456,95.456,9.456,94.184,83.64,6.456,58.64,1.0,2011-01-09 00:00:00,87.64565977742448
96.384,26.384,85.48,17.192,82.576,100.48,0.0,75.96,4.0,2011-01-09 01:00:00,126.90864228934818
88.4,24.24,91.12,14.8,89.12,97.8,1.12,70.6,3.0,2011-01-09 02:00:00,119.08362480127187
98.304,28.304,87.88,18.152,85.456,102.88,0.0,80.76,4.0,2011-01-09 03:00:00,129.14660731319555
46.68,16.672,97.008,5.344,95.672,66.72,7.672,51.68,0.0,2011-01-09 04:00:00,77.68158982511923
45.96,16.384,96.576,4.768,95.384,63.84,7.384,50.96,0.0,2011-01-09 05:00:00,77.12057233704293
48.64,17.456,98.184,6.912,96.456,74.56,8.456,53.64,0.0,2011-01-09 06:00:00,79.95955484896662
67.36,20.736,92.736,10.736,90.736,88.68,3.104,61.84,2.0,2011-01-09 07:00:00,98.8385373608903
88.76,24.336,91.168,14.92,89.168,97.92,1.168,70.84,3.0,2011-01-09 08:00:00,120.397519872814
46.36,16.544,96.816,5.088,95.544,65.44,7.544,51.36,0.0,2011-01-09 09:00:00,78.15650238473768
45.44,16.176,96.264,4.352,95.176,61.76,7.176,50.44,0.0,2011-01-09 10:00:00,77.39548489666137
48.84,17.536,98.304,7.072,96.536,75.36,8.536,53.84,0.0,2011-01-09 11:00:00,80.95446740858506
80.0,22.0,94.0,12.0,92.0,95.0,5.0,65.0,2.0,2011-01-09 12:00:00,112.27344992050874
96.64,26.64,85.8,17.32,82.96,100.8,0.0,76.6,4.0,2011-01-09 13:00:00,129.07243243243244
45.32,16.128,96.192,4.256,95.128,61.28,7.128,50.32,0.0,2011-01-09 14:00:00,77.91141494435612
67.68,20.768,92.768,10.768,90.768,88.84,3.152,61.92,2.0,2011-01-09 15:00:00,100.43039745627982
99.552,29.552,89.44,18.776,87.328,104.44,0.0,83.88,4.0,2011-01-09 16:00:00,132.46137996820352
58.32,19.664,95.664,9.664,94.496,84.16,6.664,59.16,1.0,2011-01-09 17:00:00,91.3883624801272
52.08,18.416,94.416,8.416,92.624,81.04,5.416,56.04,1.0,2011-01-09 18:00:00,85.30734499205087
56.56,19.312,95.312,9.312,93.968,83.28,6.312,58.28,1.0,2011-01-09 19:00:00,89.94632750397457
82.28,22.608,90.304,12.76,88.304,95.76,0.304,66.52,3.0,2011-01-09 20:00:00,115.82531001589825
45.48,16.192,96.288,4.384,95.192,61.92,7.192,50.48,0.0,2011-01-09 21:00:00,79.18429252782194
48.72,17.488,98.232,6.976,96.488,74.88,8.488,53.72,0.0,2011-01-09 22:00:00,82.58327503974563
93.08,25.488,91.744,16.36,89.744,99.36,1.744,73.72,3.0,2011-01-09 23:00:00,127.10225755166931
87.44,23.984,90.992,14.48,88.992,97.48,0.992,69.96,3.0,2011-01-10 00:00:00,121.621240063593
47.4,16.96,97.44,5.92,95.96,69.6,7.96,52.4,0.0,2011-01-10 01:00:00,81.7402225755167
77.76,21.776,93.776,11.776,91.776,93.88,4.664,64.44,2.0,2011-01-10 02:00:00,112.25920508744039
65.28,20.528,92.528,10.528,90.528,87.64,2.792,61.32,2.0,2011-01-10 03:00:00,99.93818759936407
61.76,20.176,92.176,10.176,90.176,85.88,2.264,60.44,2.0,2011-01-10 04:00:00,96.57717011128776
59.36,19.872,95.872,9.872,94.808,84.68,6.872,59.68,1.0,2011-01-10 05:00:00,94.33615262321145
97.088,27.088,86.36,17.544,83.632,101.36,0.0,77.72,4.0,2011-01-10 06:00:00,132.22313513513512
47.2,16.88,97.32,5.76,95.88,68.8,7.88,52.2,0.0,2011-01-10 07:00:00,82.49411764705883
55.68,19.136,95.136,9.136,93.704,82.84,6.136,57.84,1.0,2011-01-10 08:00:00,91.13310015898251
80.12,22.032,90.016,12.04,88.016,95.04,0.016,65.08,3.0,2011-01-10 09:00:00,115.73208267090621
96.768,26.768,85.96,17.384,83.152,100.96,0.0,76.92,4.0,2011-01-10 10:00:00,132.5390651828299
61.12,20.112,92.112,10.112,90.112,85.56,2.168,60.28,2.0,2011-01-10 11:00:00,97.05004769475357
50.0,18.0,94.0,8.0,92.0,80.0,5.0,55.0,1.0,2011-01-10 12:00:00,86.08903020667728
97.408,27.408,86.76,17.704,84.112,101.76,0.0,78.52,4.0,2011-01-10 13:00:00,133.65601271860095
45.52,16.208,96.312,4.416,95.208,62.08,7.208,50.52,0.0,2011-01-10 14:00:00,81.92699523052465
91.4,25.04,91.52,15.8,89.52,98.8,1.52,72.6,3.0,2011-01-10 15:00:00,127.96597774244833
97.056,27.056,86.32,17.528,83.584,101.32,0.0,77.64,4.0,2011-01-10 16:00:00,133.78096025437202
57.44,19.488,95.488,9.488,94.232,83.72,6.488,58.72,1.0,2011-01-10 17:00:00,94.32394276629572
90.44,24.784,91.392,15.48,89.392,98.48,1.392,71.96,3.0,2011-01-10 18:00:00,127.4829252782194
46.76,16.704,97.056,5.408,95.704,67.04,7.704,51.76,0.0,2011-01-10 19:00:00,83.96190779014307
45.84,16.336,96.504,4.672,95.336,63.36,7.336,50.84,0.0,2011-01-10 20:00:00,83.20089030206677
88.64,24.304,91.152,14.88,89.152,97.88,1.152,70.76,3.0,2011-01-10 21:00:00,126.15987281399046
98.048,28.048,87.56,18.024,85.072,102.56,0.0,80.12,4.0,2011-01-10 22:00:00,135.72685532591416
83.12,22.832,90.416,13.04,88.416,96.04,0.416,67.08,3.0,2011-01-10 23:00:00,120.95783783783784
56.64,19.328,95.328,9.328,93.992,83.32,6.328,58.32,1.0,2011-01-11 00:00:00,94.63682034976154
98.176,28.176,87.72,18.088,85.264,102.72,0.0,80.44,4.0,2011-01-11 01:00:00,136.33180286168522
93.44,25.584,91.792,16.48,89.792,99.48,1.792,73.96,3.0,2011-01-11 02:00:00,131.7547853736089
